Use Case,Domain,Humans,AIs,Roles
Adaptive Autonomy in Nursing Home,Health and Lifestyle Domain,1,1,"System Assistant Role, User Role"
Child Education Intervention,Education Domain,2,1,"Tutor Role, Clinician Role, System Assistant Role"
Complex Claim Verification,Law and Policy Domain,1,1,"Juror Role, System Assistant Role"
Crisis Data Relevance Identification,Health and Lifestyle Domain,1,1,"System Assistant Role, User Role"
Cultural Heritage Preservation,Digital Museum Domain,1,1,"User Role, System Assistant Role"
Cybersecurity Response for Voting System,Law and Policy Domain,1,1,"Risk Operator Role, System Assistant Role"
Emergency Response Decision Support,Industrial and Service Robotics Domain,1,1,"System Assistant Role, User Role"
Explanation Stream Patterns in DSS,Law and Policy Domain,1,1,"System Assistant Role, User Role"
Explanation Stream Patterns in DSS,Health and Lifestyle Domain,1,1,"System Assistant Role, User Role"
Face Matching Decision Support,Law and Policy Domain,1,1,"User Role, System Assistant Role"
Neurodegeneration Protein Analysis,Medical Diagnosis Domain,1,1,"Clinician Role, System Assistant Role"
Robust Multimodal Learning,Health and Lifestyle Domain,1,1,"User Role, System Assistant Role"
Smelting Plant Risk Assessment,Industrial and Service Robotics Domain,2,1,"System Assistant Role, Risk Operator Role"
Triple Extraction from Social Dialogues,Digital Museum Domain,1,1,"System Assistant Role, User Role"
Trustworthy RAG Chatbot for Public Administration,Law and Policy Domain,1,1,"System Assistant Role, User Role"
